Date;LINE;SEX;PropTime
24-ene;A1;Male;0.584166667
24-ene;A1;Female;0.30975
24-ene;A1;Female;0.66325
25-ene;A1;Female;0.42775
25-ene;A1;Female;0.4775
26-ene;A1;Male;0.398583333
26-ene;A1;Male;0.393583333
26-ene;A1;Female;0.358333333
26-ene;A1;Male;0.304166667
27-ene;A1;Male;0.496666667
24-ene;A1;Female;0.43775
24-ene;A1;Male;0.461666667
25-ene;A1;Female;0.495
26-ene;A1;Male;0.690833333
26-ene;A1;Male;0.759416667
27-ene;A1;Male;0.441666667
27-ene;A1;Male;0.40775
24-ene;A1;Male;0.453083333
24-ene;A1;Female;0.555
26-ene;A1;Male;0.21275
26-ene;A1;Male;0.52025
26-ene;A1;Female;0.481083333
27-ene;A1;Male;0.346416667
27-ene;A1;Male;0.4475
24-ene;A1;Female;0.305583333
24-ene;A1;Male;0.535583333
24-ene;A1;Female;0.53225
25-ene;A1;Female;0.474416667
26-ene;A1;Female;0.33775
27-ene;A1;Male;0.041666667
27-ene;A1;Male;0.496416667
28-may;A2;Female;0.14775
28-may;A2;Male;0.576083333
29-may;A2;Male;0.625
29-may;A2;Male;0.67975
29-may;A2;Female;0.470583333
29-may;A2;Male;0.578583333
30-may;A2;Male;0.3275
28-may;A2;Female;0.509166667
28-may;A2;Female;0.506916667
29-may;A2;Female;0.368333333
29-may;A2;Male;0.513583333
29-may;A2;Male;0.518333333
29-may;A2;Female;0.436083333
29-may;A2;Male;0.463583333
29-may;A2;Female;0.538583333
29-may;A2;Male;0.28275
29-may;A2;Male;0.500833333
29-may;A2;Male;0.409083333
29-may;A2;Male;0.46
29-may;A2;Male;0.196083333
29-may;A2;Male;0.628416667
29-may;A2;Female;0.515
29-may;A2;Female;0.260583333
29-may;A2;Male;0.436083333
29-may;A2;Female;0.409166667
29-may;A2;Female;0.431916667
29-may;A2;Male;0.365833333
29-may;A2;Female;0.335
25-ene;A2;Male;0.125
25-ene;A2;Female;0.086416667
26-ene;A2;Male;0.523333333
26-ene;A2;Female;0.079166667
27-ene;A2;Female;0.167416667
27-ene;A2;Female;0.160583333
27-ene;A2;Male;0.504166667
25-ene;A2;Female;0.21225
25-ene;A2;Male;0.271083333
25-ene;A2;Female;0.081916667
25-ene;A2;Female;0.283083333
27-ene;A2;Male;0.340583333
27-ene;A2;Male;0.320833333
25-ene;A2;Male;0.428083333
25-ene;A2;Female;0.224416667
26-ene;A2;Male;0.403583333
27-ene;A2;Male;0.513916667
27-ene;A2;Female;0.139166667
27-ene;A2;Female;0.39725
27-ene;A2;Male;0.548333333
26-may;A3;Male;0.474416667
